"Ranking","Team","Rating"
1," Amherst",7.95871646378069
2," Thomas_More",5.52264933647895
3," Tufts",4.32033478026033
4," St_Thomas_MN",3.96893912321229
5," Wheaton_IL",3.77626482097865
6," Trine",3.46218922802934
7," Ohio_Northern",3.41997969285741
8," IL_Wesleyan",3.08454666027764
9," Washington_MO",2.99237472107236
10," Wartburg",2.70235554439324
11," WI_Oshkosh",2.55042788769859
12," Bowdoin",2.44174314198378
13," Hope",2.38760405535323
14," Chicago",2.37402599079693
15," Gust_Adolphus",2.14155847868655
16," DePauw",2.06500946299159
17," Elmhurst",2.05252587931514
18," Messiah",1.95556370273937
19," WI_Whitewater",1.91608590759186
20," Puget_Sound",1.80412982806615
21," Bethel_MN",1.78650867420171
22," UT_Dallas",1.77988720188559
23," Babson",1.77827445782178
24," Whitman",1.715921372433
25," WI_Stevens_Pt",1.6923563376567
26," Chris_Newport",1.59158136420592
27," Rose-Hulman",1.55337593555178
28," Baldwin-Wallace",1.54753336837259
29," Wilmington_OH",1.52916582295504
30," George_Fox",1.49628284957125
31," Scranton",1.4938356900906
32," Rochester_NY",1.4826968353155
33," Trinity_TX",1.47904865696845
34," Calvin",1.43479236392692
35," Montclair_St",1.41725825889903
36," Augustana_IL",1.40763456908156
37," Carthage",1.31201571528682
38," Catholic",1.30610439512848
39," Carnegie_Mellon",1.30586743413531
40," Loras",1.2558280133637
41," Geneseo_St",1.24178148653245
42," Mary_Washington",1.17112296192052
43," Marymount_VA",1.16799348110416
44," Albright",1.13227551283271
45," FDU_Madison",1.12808697885819
46," Albion",1.10667299917177
47," Ithaca",1.07174015860361
48," Bluffton",1.05555130127568
49," WI_LaCrosse",1.04636839886356
50," Claremont_M.S.",1.03583608914745
51," Luther_IA",1.01235866091006
52," Emory",0.986502557873734
53," UT_Tyler",0.969315052435274
54," N_Central_IL",0.962585877603627
55," Guilford",0.96009830598853
56," Lynchburg",0.946455638033063
57," Kenyon",0.934118665666946
58," Brandeis",0.920431460150809
59," Marietta",0.906319535206599
60," Denison",0.903258734731624
61," Elizabethtown",0.883868218406259
62," Cal_Lutheran",0.881355793116569
63," M_Hardin-Baylor",0.88128613506124
64," DeSales",0.879959408348484
65," Rowan",0.877871860451728
66," Worcester_Tech",0.863681070280747
67," Rochester_Tech",0.845793013587727
68," St_Norbert",0.841037404937151
69," Case_Western",0.828319550095686
70," Transylvania",0.821306819824625
71," Buena_Vista",0.79597999512308
72," Chapman",0.791168768296454
73," Millikin",0.775963763213909
74," WI_Eau_Claire",0.77208054087806
75," MA_Dartmouth",0.770246122047252
76," Keene_St",0.757827697730239
77," St_Catherine",0.755066776624666
78," Stevenson",0.743912308865336
79," Muhlenberg",0.7404035898455
80," NYU",0.736237074404916
81," TX_Lutheran",0.731841981196789
82," Otterbein",0.721734913526207
83," Westfield_St",0.716426012872561
84," Skidmore",0.71165717321715
85," York_PA",0.709737803078255
86," Cornell_IA",0.709039449333571
87," Husson",0.707408637755796
88," Smith",0.705068136084005
89," Stevens_Tech",0.697467062265026
90," R_Stockton",0.686875678836758
91," Howard_Payne",0.686456484572791
92," WI_Superior",0.684983531562863
93," St_Benedict",0.678256910130346
94," WI_River_Falls",0.678228788397232
95," Lewis_&_Clark",0.678151974647281
96," Augsburg",0.67581861658584
97," Capital",0.662638910608012
98," SUNY_New_Paltz",0.66235729564264
99," Old_Westbury",0.643948782860038
100," Mt_Union",0.643885537158026
101," Moravian",0.635966268128559
102," Misericordia",0.624210145271913
103," Williams",0.614521014416683
104," Austin_Col",0.60812860637494
105," Concordia_WI",0.600132789420912
106," Muskingum",0.599972090026801
107," St_Mary's_MN",0.59419349160888
108," WI_Stout",0.590040963713741
109," St_Vincent",0.586692092512104
110," MIT",0.578703001181183
111," North_Park",0.576472063209916
112," Salisbury_St",0.575340846918381
113," Gettysburg",0.57478129733748
114," Coe",0.56646737485658
115," E_Connecticut",0.562349774943847
116," Kean",0.55514603024919
117," U_New_England",0.554511993549576
118," Maryville_TN",0.552066235315577
119," Russell_Sage",0.547711787118368
120," Rutgers-Camden",0.545671909483936
121," Framingham_St",0.541451974738533
122," Randolph_Macon",0.540176898653279
123," Concordia_TX",0.538209161350708
124," Emory_&_Henry",0.523025293759325
125," Oberlin",0.520405603673331
126," NE_Wesleyan",0.519183873640717
127," Emmanuel_MA",0.518999958351325
128," Middlebury",0.518950304739713
129," Hartwick",0.516811424028046
130," Wash_&_Jeff",0.516067000010476
131," CT_College",0.515845474038246
132," Springfield",0.505502776107006
133," Simpson_IA",0.496157960349182
134," Redlands",0.494148079247694
135," Haverford",0.489559676334785
136," Heidelberg",0.487984595787905
137," Eastern_Univ",0.485460666180502
138," E_Mennonite",0.484021856492909
139," John_Carroll",0.48026350584453
140," Vassar",0.479455245330413
141," Lycoming",0.478240151064501
142," Willamette",0.477604395564143
143," Brooklyn_Col",0.475379683002147
144," Concordia_Mhd",0.471972769221249
145," Colby",0.467298689170249
146," College_of_NJ",0.465405767155591
147," Dubuque",0.464816261991012
148," Hiram",0.460332228961324
149," WI_Platteville",0.458025311161888
150," Mt_St_Mary_NY",0.454191170761393
151," SUNYIT",0.451519163103883
152," Hobart_&_Smith",0.445396054665656
153," St_Joseph's_ME",0.444089321407498
154," Occidental",0.442041634194364
155," Hendrix",0.437247057283193
156," Defiance",0.437043784628818
157," SUNY_Fredonia",0.435475213591851
158," Piedmont",0.433108517306827
159," Staten_Island",0.430340683900116
160," Lakeland",0.426980629030405
161," Clarkson",0.426452890154377
162," Dickinson",0.426112263989119
163," WI_Lutheran",0.422006782314915
164," Roger_Williams",0.417287539900378
165," La_Roche",0.417261027317704
166," Wm_Paterson",0.414426678841036
167," Whitworth",0.410576771745285
168," Franklin_IN",0.408727949562804
169," Ripon",0.408461652501428
170," Rutgers-Newark",0.398973228436734
171," W_New_England",0.396947151386582
172," Ohio_Wesleyan",0.392504135262483
173," Farmingdale",0.388160582990349
174," SW_Univ_TX",0.388034823151305
175," W_Connecticut",0.384347887645522
176," Lebanon_Val",0.379531980684394
177," J&W_RI",0.375443764870215
178," Webster_Univ",0.364226352342076
179," Louisiana_Col",0.363034616140017
180," Frostburg_St",0.362698141762668
181," Johns_Hopkins",0.362183586277917
182," Susquehanna",0.361425654141873
183," Eureka",0.356092807941026
184," Birmingham_So",0.352829010475273
185," SUNY_Oneonta",0.347572751548268
186," St_Olaf",0.347534634690763
187," Adrian",0.346674016554543
188," Waynesburg",0.346047788079058
189," MA_Boston",0.345773556082156
190," Hardin-Simmons",0.337043009941658
191," Gwynedd-Mercy",0.335107910180449
192," Greenville",0.329655911398541
193," Schreiner",0.327112944693846
194," Cortland_St",0.325781988778577
195," Pacific_OR",0.32424703060336
196," Ferrum",0.324230312989656
197," Le_Tourneau",0.322055805366223
198," Mt_St_Vincent",0.319668591664196
199," Belhaven_MS",0.318790890015612
200," Castleton",0.313840340749224
201," Sul_Ross",0.311135466185126
202," St_John_Fisher",0.307442473009897
203," Hanover",0.298435982881254
204," Oglethorpe",0.297954427286084
205," Benedictine_IL",0.296745546446908
206," McMurry",0.295489057044867
207," Rensselaer",0.295338103259938
208," Wash_&_Lee",0.295247876192363
209," Union_NY",0.294785920617223
210," Millsaps",0.291758886160391
211," Wittenberg",0.29137149656122
212," Univ_Ozarks",0.288945077084136
213," Clark_MA",0.280981280627997
214," Bridgewater_MA",0.280248790321128
215," Alma",0.279517852685302
216," Central_IA",0.279190223869365
217," Ursinus",0.277548151485507
218," Neumann",0.274532770382981
219," Lehman",0.268589780139285
220," Grove_City",0.263895952391491
221," N_England_Col",0.263484039052816
222," Drew",0.262454541958603
223," Coast_Guard",0.259797101379364
224," St_Lawrence",0.257336749088511
225," Trinity_CT",0.255777311916746
226," Juniata",0.255134759576476
227," Whittier",0.254622044587325
228," Wesleyan_CT",0.254175225958109
229," MN_Morris",0.246166044926586
230," UC_Santa_Cruz",0.24439176429477
231," McDaniel_Col",0.238140988742849
232," Roanoke",0.236770668182792
233," Nazareth",0.236311506173663
234," Ramapo",0.236058857859554
235," Endicott",0.235184331236527
236," Colby-Sawyer",0.234272653233524
237," Linfield",0.232857071689355
238," Suffolk",0.230426109359953
239," Manhattanville",0.229484104637184
240," Bethany_WV",0.228967125996101
241," Macalester",0.228785904891719
242," Grinnell",0.2252627625301
243," Brockport_St",0.224377886235918
244," VA_Wesleyan",0.223441054747378
245," Randolph_Col",0.211836763399926
246," Averett",0.211399040452096
247," Marywood",0.20853423744865
248," Bridgewater_VA",0.207110960454399
249," Anderson_IN",0.204885608422668
250," Pitt-Bradford",0.202659822258611
251," Delaware_Val",0.202576808436721
252," Concordia_IL",0.200738920608066
253," E_Texas_Bap",0.20058617668816
254," Manchester",0.200206775745981
255," E_Nazarene",0.199089972093113
256," Cabrini",0.198458036138555
257," Centenary_NJ",0.198312054657278
258," Oswego_St",0.197698587811018
259," Illinois_Col",0.197682514710655
260," Worcester_St",0.197468432654951
261," Peace",0.197465102253627
262," Westminster_PA",0.195387375766572
263," Emerson",0.19244201999181
264," Bates",0.19113185981299
265," Regis_MA",0.191039402106374
266," Hamline",0.190255750396391
267," Plattsburgh_St",0.18794956108319
268," Knox",0.185413188034276
269," Dallas_Univ",0.182223147581239
270," Baruch",0.180489661850742
271," Albertus_Magnus",0.180384275486315
272," Plymouth_St",0.177382106862732
273," Carleton_MN",0.176879310731285
274," Widener",0.176065196114705
275," PSU-Harrisburg",0.175364470339213
