"Ranking","Team","Rating"
1," Augustana_IL",2.71996954162823
2," Benedictine_IL",2.58634100544259
3," St_Thomas_MN",2.54523632530854
4," Chris_Newport",1.86706699492873
5," Ohio_Wesleyan",1.54982330135525
6," N_Central_IL",1.54195167533203
7," Alma",1.52746509062676
8," John_Carroll",1.51826985491625
9," Elmhurst",1.49398073535232
10," J&W_RI",1.47449384606412
11," Whitman",1.4351622989936
12," Amherst",1.39560088210188
13," Marietta",1.39287676690067
14," Salisbury_St",1.32850542791993
15," St_Norbert",1.32787289644703
16," Wooster",1.27081784127402
17," Whitworth",1.26450878262041
18," Lynchburg",1.20851173802595
19," Tufts",1.17884402934405
20," St_Olaf",1.174552620847
21," Catholic",1.14962491997667
22," Lancaster_Bib",1.14281844394798
23," Hope",1.11345914951116
24," Bethel_MN",1.05381359894693
25," NYU",1.04514168171585
26," Chicago",1.03619155598547
27," Emory",1.03344546517046
28," St_John's_MN",1.02703593818147
29," Trinity_CT",0.996227288831716
30," VA_Wesleyan",0.992795353202195
31," R_Stockton",0.983564062771489
32," Susquehanna",0.960811430175689
33," Middlebury",0.951203044398404
34," Washington_MO",0.94215057870242
35," Plattsburgh_St",0.936938755295138
36," Oswego_St",0.934772878243455
37," Babson",0.929330098021865
38," WI_Oshkosh",0.927186828705538
39," Rochester_NY",0.919133241711989
40," IL_Wesleyan",0.910201645758838
41," Brockport_St",0.899829238963511
42," Central_IA",0.896606426334317
43," S_Vermont",0.880261649188204
44," Concordia_Mhd",0.87146925218058
45," Concordia_WI",0.870861967973011
46," WI_Whitewater",0.868227094041689
47," Cortland_St",0.865337551858875
48," E_Connecticut",0.83823684586639
49," Nichols",0.827906098720281
50," NJ_City",0.824217098910198
51," Augsburg",0.814733718838796
52," St_John_Fisher",0.813182880667207
53," Mary_Washington",0.81096577089003
54," North_Park",0.800496742324391
55," TX_Lutheran",0.796958430205682
56," Trine",0.796548299215285
57," Northwestern_MN",0.795587771653488
58," SUNY_Oneonta",0.792742627526741
59," Hardin-Simmons",0.790460985663822
60," Roanoke",0.788061959586558
61," Keene_St",0.77588443601857
62," Brooklyn_Col",0.774375963424158
63," Scranton",0.770928953906003
64," Gust_Adolphus",0.769556196256918
65," Denison",0.767102633580866
66," Frank_&_Marsh",0.766420130067054
67," Randolph_Col",0.763550984407965
68," Nazareth",0.759007088549801
69," Swarthmore",0.758533923984659
70," WI_Eau_Claire",0.755067572174591
71," Aurora",0.75138656415581
72," WI_River_Falls",0.747303694879149
73," Dubuque",0.74557583261973
74," Gwynedd-Mercy",0.744897707474042
75," WI_Stevens_Pt",0.741242993539348
76," Skidmore",0.739378626783765
77," Guilford",0.726174196886188
78," WI_LaCrosse",0.723358899703621
79," LaGrange",0.71891895547276
80," Carleton_MN",0.717733074335373
81," Buffalo_St",0.717411792960485
82," Wesleyan_CT",0.714774078856142
83," Randolph_Macon",0.712825983824229
84," Wittenberg",0.709669084858202
85," Covenant",0.707257099648178
86," Rutgers-Newark",0.705796170846265
87," PSU-Behrend",0.701796041183348
88," Neumann",0.698061650660108
89," Worcester_Tech",0.692978204118073
90," Hampden-Sydney",0.685023809153834
91," Carroll_WI",0.677685901037167
92," Hartwick",0.674567856989735
93," E_Texas_Bap",0.666401593899826
94," Pac_Lutheran",0.665875749795666
95," Milwaukee_Eng",0.663806864830231
96," Williams",0.661085625451332
97," Albion",0.660975240658361
98," Mt_Union",0.660605847797236
99," Lycoming",0.659169092319557
100," Capital",0.655903982361543
101," Emory_&_Henry",0.651976127276645
102," Birmingham_So",0.648013022352652
103," Endicott",0.643758775988031
104," Geneseo_St",0.630722844423947
105," UT_Dallas",0.630529263788491
106," Delaware_Val",0.630095930719984
107," Gettysburg",0.62969488198665
108," Baldwin-Wallace",0.613043210553784
109," Averett",0.60671316860691
110," Wesley_DE",0.606308188459177
111," MA_Dartmouth",0.604171107132304
112," Staten_Island",0.602876436009758
113," NC_Wesleyan",0.599443479113725
114," Heidelberg",0.594378458365481
115," St_Vincent",0.593752013975034
116," Colby",0.593620036237262
117," MIT",0.590872595564308
118," DeSales",0.58974423189435
119," St_Mary's_MD",0.589595284106809
120," Loras",0.58925699715821
121," Hiram",0.586868745528363
122," Wheaton_IL",0.580954816944938
123," Juniata",0.579982090265751
124," Ripon",0.576795151997115
125," Lebanon_Val",0.573151186973084
126," Arcadia",0.571457385464887
127," College_of_NJ",0.569815507286922
128," Hilbert",0.568628081826067
129," Ohio_Northern",0.567322478726712
130," Carnegie_Mellon",0.56662356221738
131," Ferrum",0.566036540098519
132," St_Lawrence",0.56579642382919
133," Mt_St_Joseph",0.564861292981383
134," Marian_WI",0.563049347829118
135," Buena_Vista",0.560755095217814
136," Wartburg",0.55837115393236
137," Calvin",0.553680055447633
138," Centre",0.548969604176996
139," Greensboro",0.548869662492933
140," Case_Western",0.547706524317681
141," Johns_Hopkins",0.545937361318333
142," Union_NY",0.545737208964054
143," Maryville_TN",0.545597609246779
144," Simpson_IA",0.542549816657604
145," Fitchburg_St",0.539831502988534
146," Chapman",0.538446344106863
147," M_Hardin-Baylor",0.537878479968804
148," W_Connecticut",0.533964520914187
149," Brandeis",0.532098870328787
150," Adrian",0.531853833546124
151," Sewanee",0.531026457762063
152," Marymount_VA",0.52882921502999
153," Concordia_TX",0.528045472482438
154," Dickinson",0.520544398272366
155," Baruch",0.519811365603236
156," Rockford",0.517275611018641
157," Husson",0.515891282102828
158," Colorado_Col",0.515552235655966
159," Ramapo",0.514200457782138
160," Lake_Forest",0.513262006657016
161," Lehman",0.512671596687376
162," SW_Univ_TX",0.511676448473863
163," Carthage",0.504255372045832
164," Wabash",0.503868096897615
165," Monmouth_IL",0.501621448813997
166," Wash_&_Lee",0.501016172952843
167," Rochester_Tech",0.492161145436021
168," Cabrini",0.491264331949144
169," WI_Platteville",0.487205030513628
170," Wm_Paterson",0.482766439070317
171," S_Maine",0.479655502261739
172," Lewis_&_Clark",0.476567599904072
173," Misericordia",0.476085268360874
174," E_Mennonite",0.473077935153462
175," Peace",0.471243461539659
176," E_Nazarene",0.470460443373444
177," Puget_Sound",0.467647655041936
178," Coe",0.467388877248392
179," Rose-Hulman",0.466629365955773
180," Hobart_&_Smith",0.465374984320718
181," Centenary",0.462978552941656
182," Eastern_Univ",0.462259508122774
183," York_PA",0.460223083346058
184," Lakeland",0.460197016131089
185," Bowdoin",0.45863247803218
186," Thomas_More",0.458533161941965
187," Vassar",0.457991058908418
188," Oberlin",0.45720452767899
189," Sul_Ross",0.456509415124221
190," Louisiana_Col",0.452441691183185
191," CT_College",0.450106309004459
192," Hanover",0.449877592625535
193," WI_Lutheran",0.447898654720556
194," Austin_Col",0.447003571706658
195," Albertus_Magnus",0.446314708339727
196," Stevens_Tech",0.443278352748123
197," St_Scholastica",0.44239253030416
198," Piedmont",0.442323565453932
199," Hood",0.441385698535481
200," Widener",0.438229373154488
201," Rowan",0.438074836010657
202," Ithaca",0.435426794325026
203," Kenyon",0.432843573307808
204," Le_Tourneau",0.431271934274771
205," Trinity_TX",0.430973374949196
206," Wilkes",0.430831610578699
207," Old_Westbury",0.42923616696625
208," Rensselaer",0.428502890298476
209," Gallaudet",0.428340341401617
210," Springfield",0.424272639631263
211," Albright",0.423701464558243
212," Defiance",0.422266949458284
213," Green_Mtn",0.417502230770884
214," Beloit",0.41748836432167
215," Becker",0.417455100948832
216," Hamilton",0.416998804001312
217," Alvernia",0.413144203774462
218," Lawrence",0.412316969393422
219," St_Mary's_MN",0.411419623031799
220," Merchant_Marine",0.408509600469597
221," Schreiner",0.407840761889347
222," Hamline",0.406060768780026
223," Manchester",0.405167864083441
224," Berry",0.404665628962761
225," McDaniel_Col",0.403315117939993
226," Stevenson",0.402734861682773
227," Salem_MA",0.401410900962254
228," Montclair_St",0.398637698834796
229," Whittier",0.398065627069118
230," City_Col_NY",0.39737747550928
231," Bates",0.396383972182759
232," Russell_Sage",0.393497389494839
233," St_Joseph's_NY",0.392124805221811
234," Bethany_WV",0.389720120669804
235," Redlands",0.388495060716562
236," Farmingdale",0.388155540964162
237," Ursinus",0.386630226243434
238," Wentworth_Tech",0.38397702321682
239," UT_Tyler",0.378964107225048
240," PSU-Harrisburg",0.378616571273053
241," Rhodes",0.377291099630383
242," Methodist",0.376953294514363
243," Plymouth_St",0.374376249044111
244," Medgar_Evers",0.3730056316048
245," Pitt-Greensburg",0.37262634076553
246," S_Virginia",0.370496936349234
247," WI_Superior",0.370329759742397
248," Manhattanville",0.370271027124041
249," Pacific_OR",0.369806316902126
250," Elms",0.36848751627647
251," Drew",0.367706474114962
252," Bard",0.367516412284287
253," Grove_City",0.365879935119174
254," Yeshiva",0.363543717567391
255," Lasell",0.363350659224774
256," Howard_Payne",0.363331822509886
257," Emerson",0.361381565219036
258," York_NY",0.358977919846178
259," Worcester_St",0.35753629565899
260," Alfred",0.356777018141957
261," Frostburg_St",0.35590488496259
262," Claremont_M.S.",0.353919657180132
263," Shenandoah",0.353752133331967
264," RI_College",0.352921854008561
265," Transylvania",0.352307650149502
266," Grinnell",0.351664281675636
267," Muskingum",0.350616095814202
268," Linfield",0.346915890692704
269," Macalester",0.345239113832693
270," Millikin",0.343319876730323
271," Messiah",0.341712048768421
272," Cal_Lutheran",0.34116700854142
273," Anderson_IN",0.340817761474467
274," George_Fox",0.338824276013363
275," WI_Stout",0.336656951693779
276," Rosemont",0.335715565330886
277," Goucher",0.334479551398109
278," Roger_Williams",0.334321979015171
279," Dallas_Univ",0.330840523672177
280," Bridgewater_VA",0.330624026885171
281," Wilmington_OH",0.327119271492768
282," Gordon",0.32604466462791
283," Clarkson",0.325257819174868
284," Regis_MA",0.325243133039565
285," Oglethorpe",0.323656280793824
286," Muhlenberg",0.322633797586281
287," Colby-Sawyer",0.321276857997747
288," Medaille",0.319330741984263
289," Morrisville_St",0.314318430014148
290," La_Roche",0.311997532088309
291," Pitt-Bradford",0.310132803815736
292," Willamette",0.306668684998767
293," Moravian",0.306530513438888
294," Westfield_St",0.303913074415192
295," Centenary_NJ",0.303263825652732
296," N_Central_MN",0.302619765019428
297," DePauw",0.301214373251951
298," Westminster_PA",0.298005987111359
299," Spalding",0.29624691458351
300," La_Verne",0.296110695147356
301," Luther_IA",0.29556198257932
302," Hendrix",0.292228693459135
303," Huntingdon",0.292166629345722
304," Salve_Regina",0.289253502741758
305," Cornell_IA",0.289049968179885
306," MN_Morris",0.288495859937229
307," Purchase",0.287780307956983
308," MacMurray",0.286361881135132
309," Allegheny",0.285619862227802
310," Pomona_Pitzer",0.285134345943154
311," Bluffton",0.284636925317549
312," Kalamazoo",0.283590953619391
313," SUNY_Fredonia",0.282116432457883
314," Clark_MA",0.27980683973211
315," Thiel",0.277951694622476
316," U_New_England",0.274497003141221
317," Wheaton_MA",0.274185738476775
318," Houghton",0.274062049489645
319," King's_PA",0.273911585352112
320," Waynesburg",0.271409663385749
321," St_Joseph's_LI",0.269802892968754
322," Coast_Guard",0.268856225983748
323," Greenville",0.268090173245577
324," Occidental",0.266920292220131
325," Bridgewater_MA",0.263323301261816
326," Webster_Univ",0.258595579647692
327," Caltech",0.255720012601023
328," Pine_Manor",0.252204603570203
329," SUNY_New_Paltz",0.249708970423754
330," Illinois_Col",0.2467713982037
331," Cairn",0.246080346542672
332," Otterbein",0.246067659798799
333," Dominican_IL",0.245496398320418
334," Mt_Ida",0.243021833622166
335," Immaculata",0.242448087442064
336," Hunter",0.240815199490476
337," W_New_England",0.240184363279225
338," Franklin_IN",0.238864560037231
339," Anna_Maria",0.237863212662789
340," Mt_St_Vincent",0.23173382048403
341," MA_Boston",0.231502840358514
342," Mitchell",0.231383736719314
343," FDU_Madison",0.23082679715893
344," SUNYIT",0.229359215479477
345," Daniel_Webster",0.228667821225014
346," Thomas_ME",0.226573006584833
347," Emmanuel_MA",0.225986933623936
348," UC_Santa_Cruz",0.224776832873693
349," Belhaven_MS",0.222240688679581
350," D'Youville",0.220852371990369
351," Elmira",0.218804808531151
352," Millsaps",0.218461663266694
353," Westminster_MO",0.218036375759119
354," Lyndon_St",0.207903108336094
355," Elizabethtown",0.20657747427671
356," Northland",0.204133665300146
357," NY_Maritime",0.202838728120294
358," Edgewood",0.200439234720638
359," Washington_MD",0.20002794417911
360," Cazenovia",0.198223891725526
361," IL_Tech",0.196380519680189
362," Mt_Aloysius",0.195828241239368
363," PSU-Altoona",0.194597920001034
364," Finlandia",0.194296647716252
365," Mt_St_Mary_NY",0.191245504482403
366," Framingham_St",0.191107388810095
367," Keystone",0.190739169593153
368," Univ_Ozarks",0.188416017214408
369," John_Jay",0.187507985337459
370," Knox",0.186306531371087
371," SUNY_Potsdam",0.185724987696506
372," Bethany_Luth",0.177334060896612
373," Iowa_Wesleyan",0.175970912481818
374," Fontbonne",0.174776255915735
375," Eureka",0.174393996504016
376," Utica",0.171336780937704
377," Olivet_MI",0.170407749219672
378," Rutgers-Camden",0.170236788739125
379," Blackburn",0.167815839202312
380," PSU-Berks",0.166469255887367
381," Haverford",0.16327142490749
382," McMurry",0.161633047157199
383," MA_Liberal_Arts",0.161265430417641
384," Earlham",0.159019576257554
385," Wells",0.158597376181977
386," Kean",0.154485785691107
387," Chatham",0.154180648129827
388," Lesley",0.152690951228509
389," Keuka",0.152204256833518
390," Rust",0.148331150740839
391," ME_Maritime",0.142783702187632
392," Castleton",0.139649258749962
393," Johnson_St",0.139175711761302
394," Marywood",0.139014709500153
395," Suffolk",0.135579109951524
396," St_Joseph's_ME",0.132010428474172
397," Sarah_Lawrence",0.131432107844837
398," Geneva",0.130626035913201
399," Concordia_IL",0.129024654945016
400," SUNY-Cobleskill",0.127567248648171
401," Principia",0.124796356623719
402," N_England_Col",0.123339266440967
403," PSU-Abington",0.122774432123229
404," Newbury",0.114791112273428
405," Wheelock",0.114089101332991
406," Bryn_Athyn",0.112939837510551
407," Rivier",0.108216434894927
408," Crown_MN",0.107462945894257
409," Norwich",0.106454211855116
410," Luther_MN",0.105765831145143
411," Alfred_St",0.104123202069747
412," Curry",0.103474188861403
413," Penn_Tech",0.100882268158651
414," Wilson",0.100305774926841
415," Summit",0.0886263908242926
416," Franciscan_OH",0.0845134451865807
417," Wash_&_Jeff",0.0842673784904687
418," ME_Farmington",0.0796227847790225
419," Maranatha_Bap",0.0562219549284454
420," ME_Presque_Isle",0.0501194031882601
421," Valley_Forge",0.0469262733447841
