"Ranking","Team","Rating"
1," Gonzaga",5.40713786756558
2," West_Virginia",4.30534567565201
3," Villanova",4.29294606011217
4," North_Carolina",4.18982143274318
5," Kentucky",4.01569662233352
6," Louisville",3.86173203770528
7," Kansas",3.71547424697158
8," Florida",3.66911458639383
9," Virginia",3.57019248708777
10," Purdue",3.43498574405067
11," UCLA",3.37539834915764
12," Wichita_St",3.34828236523887
13," Baylor",3.33384435750418
14," Duke",3.29696669381006
15," Florida_St",3.26915718141292
16," SMU",2.98038380297603
17," Oregon",2.88874525509078
18," Wisconsin",2.87453026787468
19," Butler",2.86891000588109
20," Oklahoma_St",2.83636013648172
21," Iowa_St",2.8356168457078
22," Notre_Dame",2.81969301458835
23," Cincinnati",2.75843319862103
24," Michigan",2.70695919157348
25," Creighton",2.62448072561612
26," Arizona",2.58331640151983
27," St_Mary's_CA",2.57979504639678
28," Marquette",2.45152721398475
29," Minnesota",2.34830463356718
30," Miami_FL",2.32980471369711
31," South_Carolina",2.30159537516536
32," Wake_Forest",2.28302605478268
33," Kansas_St",2.26391808252004
34," Northwestern",2.24206187431772
35," Texas_Tech",2.20483808309443
36," Indiana",2.18514207058221
37," Clemson",2.11442588277404
38," Maryland",2.10301030134662
39," Syracuse",2.08736434215118
40," Virginia_Tech",2.03687553303459
41," Vanderbilt",2.03668535103441
42," Michigan_St",2.01326740782009
43," Xavier",2.00252718991337
44," TCU",1.98732899536837
45," Providence",1.9691849573934
46," Arkansas",1.92371528992388
47," Dayton",1.85231041442248
48," Seton_Hall",1.84146124101106
49," Pittsburgh",1.83800586129452
50," Ohio_St",1.81146760514439
51," Oklahoma",1.79370661981946
52," Tennessee",1.78080137635997
53," VA_Commonwealth",1.78018839485849
54," Georgetown",1.76557561024229
55," Georgia",1.76528732482518
56," Iowa",1.73555849624238
57," Texas",1.72110452164974
58," Utah",1.71101024822909
59," Houston",1.71036515067018
60," Rhode_Island",1.69470073164491
61," Texas_A&M",1.67269839706819
62," BYU",1.65620165639068
63," California",1.63483300397123
64," Georgia_Tech",1.63137409772859
65," Illinois",1.61062860728888
66," Alabama",1.59655827021269
67," USC",1.58838611956917
68," Illinois_St",1.55416958720763
69," MTSU",1.5417673874596
70," Mississippi",1.53505035024974
71," UCF",1.52785787853399
72," Penn_St",1.48096629856003
73," Nevada",1.47639095414854
74," St_John's",1.4474033602703
75," Colorado",1.43680209161183
76," UNC_Wilmington",1.40927794733049
77," Memphis",1.39956658729434
78," Auburn",1.33652395957825
79," ETSU",1.33169650008734
80," Temple",1.32601468347451
81," Nebraska",1.31827426774227
82," NC_State",1.28413481208605
83," Vermont",1.27835303547378
84," Mississippi_St",1.27148056488696
85," Connecticut",1.21930885976509
86," Richmond",1.21463005956207
87," Davidson",1.18857494067413
88," Col_Charleston",1.18019754933272
89," St_Bonaventure",1.17967301602214
90," Stanford",1.15480975416721
91," Monmouth_NJ",1.15411510630396
92," Bucknell",1.14996581926603
93," San_Diego_St",1.14924094124986
94," UT_Arlington",1.14903580810662
95," Boston_College",1.12879704651389
96," Boise_St",1.10858842262969
97," Louisiana_Tech",1.10440067915052
98," G_Washington",1.08734902254271
99," Valparaiso",1.07444856494838
100," Colorado_St",1.06454593472073
101," Oakland",1.05213241340918
102," Rutgers",1.04229975276614
103," Loyola-Chicago",1.03595032180356
104," George_Mason",1.03485488601617
105," Fresno_St",1.0188413859732
106," Old_Dominion",1.0168716363979
107," San_Francisco",1.01274705202675
108," DePaul",1.00922371194152
109," Massachusetts",1.00194363153719
110," Towson",0.998799868558535
111," Akron",0.988079982436495
112," Arizona_St",0.985477418010077
113," Missouri_St",0.978285048423631
114," FL_Gulf_Coast",0.961044174458101
115," Princeton",0.957827190955889
116," Missouri",0.955938483924291
117," Ohio",0.953546387016901
118," Iona",0.952441656391587
119," Santa_Clara",0.949419999602505
120," Tulsa",0.94580790767241
121," La_Salle",0.935039328922532
122," Furman",0.928797325007494
123," New_Mexico",0.922063236914701
124," St_Peter's",0.917821425242392
125," Lehigh",0.907246269775808
126," New_Mexico_St",0.904416299772122
127," Belmont",0.888820544918697
128," Chattanooga",0.874581932511541
129," Rice",0.874063077737126
130," Arkansas_St",0.869011034968133
131," Wyoming",0.868503989037248
132," UNC_Greensboro",0.864397828981544
133," Winthrop",0.858538388773753
134," Toledo",0.855992021169082
135," Elon",0.847287615802949
136," CS_Bakersfield",0.835959233039786
137," Northeastern",0.833113267063441
138," S_Illinois",0.832281136418126
139," LSU",0.831619508675639
140," Kent",0.824427301214058
141," UNC_Asheville",0.816641069737582
142," Samford",0.816256153189489
143," Albany_NY",0.813918330525693
144," Utah_St",0.809918588079922
145," Evansville",0.809332966253045
146," Georgia_St",0.802757734762864
147," Marshall",0.8013772208882
148," Wofford",0.795027751385146
149," Harvard",0.789176929151097
150," W_Michigan",0.784792892746063
151," Indiana_St",0.781962048869814
152," St_Joseph's_PA",0.777079481371335
153," UAB",0.77414129313584
154," Siena",0.772540059036483
155," Buffalo",0.769155237273495
156," Grand_Canyon",0.764175091253952
157," IPFW",0.759658752763299
158," Northern_Iowa",0.755735936882767
159," Washington",0.750138634130595
160," N_Kentucky",0.749204336418994
161," East_Carolina",0.745786843821679
162," William_&_Mary",0.745392061030343
163," Washington_St",0.744903117969363
164," Fordham",0.740295134258324
165," UC_Irvine",0.739077319325195
166," ULL",0.736680175938768
167," Canisius",0.73483037718912
168," Mercer",0.727865462988376
169," Troy",0.726304645669102
170," Hofstra",0.72386883005748
171," South_Dakota",0.717066038179102
172," Ball_St",0.705476906856505
173," Lipscomb",0.705115516506833
174," Wright_St",0.702832323514303
175," E_Michigan",0.697927141730737
176," Boston_Univ",0.687803194530899
177," NE_Omaha",0.68719736275045
178," Loy_Marymount",0.685124256477777
179," Duquesne",0.684648699045817
180," Penn",0.684166404307475
181," Montana",0.681125711193523
182," Tennessee_St",0.676591144506252
183," Yale",0.676530652805425
184," UTEP",0.675137428195668
185," Ga_Southern",0.674104017868462
186," WI_Green_Bay",0.656649655252551
187," S_Dakota_St",0.652778700801921
188," Jacksonville_St",0.650017393811882
189," Murray_St",0.636221719701953
190," Gardner_Webb",0.630106724643314
191," Tulane",0.628043593392562
192," Mt_St_Mary's",0.627585670609995
193," Pacific",0.622497678830407
194," N_Dakota_St",0.621145860084784
195," James_Madison",0.621030713774984
196," Stony_Brook",0.619591971735666
197," Rider",0.618209220884197
198," Denver",0.613371180526551
199," Bradley",0.612716139937707
200," Utah_Valley",0.606830559117051
201," Navy",0.606287385492282
202," San_Jose_St",0.606179898450359
203," N_Illinois",0.604420274444331
204," Coastal_Car",0.602545120629764
205," New_Hampshire",0.597923053515621
206," Air_Force",0.594753266113082
207," UNLV",0.586857174905751
208," IUPUI",0.585839261448141
209," Oregon_St",0.582770702849446
210," UMBC",0.582415249729992
211," Texas_St",0.58079054230594
212," Portland",0.580287261315984
213," E_Washington",0.579431092140727
214," WKU",0.572865018172702
215," NC_Central",0.572369494190458
216," Holy_Cross",0.571606716819611
217," Oral_Roberts",0.570880221119776
218," Weber_St",0.570245562143579
219," Fairfield",0.56071369770452
220," Army",0.559189937743843
221," Drake",0.556009314984061
222," WI_Milwaukee",0.552231035134401
223," TN_Martin",0.550132551350419
224," IL_Chicago",0.538401266707167
